,Measured Depth m,MWD Continuous Azimuth dega,Average Hookload kkgf,RGX_RT unitless,"Gas, C1 ppm",MWD Shock Peak m/s2,Bit run number unitless,MWD Continuous Inclination dega,MWD Annulus Pressure kPa,"Gas, Iso-C5 ppm",MWD Shock Rate 1/s,DRILLTM_RT unitless,MWD Gamma Ray (API BH corrected) gAPI,Average Surface Torque kN.m,"Gas, Nor-C4 ppm",BOUNCE_RT unitless,Bit Drill Time h,Gas %,Bit Drill Distance m,Pass Name unitless,CRS1 unitless,Weight on Bit kkgf,Mud Flow In L/min,Rig Mode unitless,Active Tank Volume m3,Average Standpipe Pressure kPa,Mud Temperature Out degC,Rate of Penetration (5ft avg) m/h,Extrapolated Hole TVD m,Mud Density Out g/cm3,"Gas, Iso-C4 ppm",Mud Flow Out % %,MWD Gravity Toolface dega,Corr. Drilling Exponent unitless,NRPM_RT unitless,RHX_RT unitless,Hole Depth (TVD) m,"Gas, Nor-C5 ppm",Lag Depth (TVD) m,AJAM_MWD unitless,Total Bit Revolutions unitless,SHK3TM_RT min,Average Rotary Speed rpm,MWD Equivalent Circulating Density g/cm3,MWD Raw Gamma Ray 1/s,MWD Total Shocks unitless,MWD Stick-Slip PKtoPK RPM rpm,MWD Annulus Temperature degC,Rate of Penetration m/h,"Gas, C3 ppm",MWD Collar RPM rpm,Mud Temperature In degC,MWD Turbine RPM rpm,"Gas, C2 ppm",MWD DNI Temperature degC,Mud Density In g/cm3,MWD Shock Risk unitless,nameWellbore,name,TOFB s,H2S Average ppm,Total SPM 1/min,OSTM s,Elapsed time in-slips s,BHFG unitless,Total Strokes unitless,TOBO s,Inverse ROP s/m,HKLI kkgf,Pump 1 Strokes unitless,HKLO kkgf,Pump 3 Strokes unitless,IMWT g/cm3,Pump 2 Strokes unitless,Total Downhole RPM rpm,Pump 4 Stroke Rate 1/min,Pump 4 Strokes unitless,Bit Depth m,Hole depth (MD) m,Pump Time h,S1AC kPa,EDRT unitless,S2AC kPa,"String weight (rot,avg) kkgf",Total Hookload kkgf,DRET unitless
0,0,,,,,,2,,,,,449.024,,,,449.024,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,158.353,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,158.3539632,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,159.484,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,159.4844664,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,160.596,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,160.597596,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,161.014,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,161.0139528,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,161.986,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,161.9853504,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,163.053,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,163.0536744,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,163.995,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,163.9958112,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,164.76,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,164.7584208,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,164.955,,,,,,2,,,,,,,,,,,,,Drilling,,,,,,,,,,,,,,,,,164.9541024,,,,,,,,,,,,,,,,,,,,,15/9-F-9 - Main Wellbore,17.5 in section Combined SLB and Geoservices Data - MD Log,,,,,,,,,,,,,,,,,,,,,,,,,,,
