,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,491.033,5.8422697256,9440.922213962509,0.244047230699652,42.864024,84.0,2784.32194248,1.21000003814697,311.15,93.7802224975,490.7603088,150.88
1,491.185,6.2414310112,9499.94133639202,0.244047230699652,42.315384,84.0,2784.32194248,1.21000003814697,311.15,93.9798031403,490.91088,150.88
2,491.222,6.2414310112,9499.94133639202,0.244047230699652,42.315384,84.0,2784.32194248,1.21000003814697,311.15,93.9798031403,490.91088,150.88
3,491.338,6.3684368748,9313.024466174229,0.216930871733024,42.894504,84.0,2784.32194248,1.21000003814697,311.15,94.0795934617,491.061756,146.26
4,491.341,6.3684368748,9313.024466174229,0.216930871733024,42.894504,84.0,2784.32194248,1.21000003814697,311.15,94.0795934617,491.061756,146.26
5,491.399,6.3684368748,9313.024466174229,0.216930871733024,42.894504,84.0,2784.32194248,1.21000003814697,311.15,94.0795934617,491.061756,146.26
6,491.49,6.3366854089,9252.55744471315,0.230489051216338,42.672,84.0,2784.32194248,1.21000003814697,311.15,93.7303273368,491.2123272,146.26
7,491.517,6.3366854089,9252.55744471315,0.230489051216338,42.672,84.0,2784.32194248,1.21000003814697,311.15,93.7303273368,491.2123272,146.26
8,491.642,5.9148445048000005,9437.61273046178,0.230489051216338,42.1386,84.0,2784.32194248,1.21000003814697,311.15,93.8845487426,491.3632032,146.26
9,491.694,5.9148445048000005,9437.61273046178,0.230489051216338,42.1386,84.0,2784.32194248,1.21000003814697,311.15,93.8845487426,491.3632032,146.26
10,491.795,6.1733921557,9448.43749941206,0.216930871733024,42.547032,84.0,2784.32194248,1.21000003814697,311.15,93.8301176582,491.5137744,146.26
11,491.871,6.1733921557,9448.43749941206,0.216930871733024,42.547032,84.0,2784.32194248,1.21000003814697,311.15,93.8301176582,491.5137744,146.26
12,491.929,6.1733921557,9448.43749941206,0.216930871733024,42.547032,84.0,2784.32194248,1.21000003814697,311.15,93.8301176582,491.5137744,146.26
13,491.947,6.214215469,9263.93379424687,0.162698153799768,42.501312,84.0,2784.32194248,1.21000003814697,311.15,93.9661953692,491.6646504,146.26
14,492.045,6.214215469,9263.93379424687,0.162698153799768,42.501312,84.0,2784.32194248,1.21000003814697,311.15,93.9661953692,491.6646504,146.26
15,492.1,6.0237066736,9279.99857873996,0.013558179483313998,41.675304,84.0,2784.32194248,1.21000003814697,311.15,93.9344439033,491.8152216,155.49
16,495.605,4.7218965717,9435.40640812797,0.013558179483313998,39.724584,84.0,2784.32194248,1.21000003814697,311.15,95.39501133469999,495.2789688,144.72
17,495.757,4.5132440815,9547.37726656902,0.013558179483313998,40.190928,84.0,2784.32194248,1.21000003814697,311.15,95.2861491659,495.4292352,144.72
18,495.8,4.5132440815,9547.37726656902,0.013558179483313998,40.190928,84.0,2784.32194248,1.21000003814697,311.15,95.2861491659,495.4292352,144.72
19,496.062,4.808079122,9317.57500598772,0.013558179483313998,39.82212,84.0,2784.32194248,1.21000003814697,311.15,95.1319277601,495.73037760000005,157.03
20,496.129,4.808079122,9317.57500598772,0.013558179483313998,39.82212,84.0,2784.32194248,1.21000003814697,311.15,95.1319277601,495.73037760000005,157.03
21,496.519,4.1322264907,9389.5562721284,0.013558179483313998,40.535352,84.0,2784.32194248,1.21000003814697,311.15,95.5673764353,496.1817864,144.72
22,496.522,4.1322264907,9389.5562721284,0.013558179483313998,40.535352,84.0,2784.32194248,1.21000003814697,311.15,95.5673764353,496.1817864,144.72
23,496.58,4.1322264907,9389.5562721284,0.013558179483313998,40.535352,84.0,2784.32194248,1.21000003814697,311.15,95.5673764353,496.1817864,144.72
24,501.396,3.9099662294,9466.43281594723,0.7456998715822699,25.164288,92.9,2821.98679188,1.21000003814697,311.15,96.1298309741,500.9927496,144.72
